Marca temporal,¿Qué edad tienes?,¿Cuál de las siguientes opciones describe mejor tu identidad de género? ,¿A qué te dedicas actualmente?  (Elige la opción que mejor te describa),Con qué género(s) musical(es) te identificas más?,¿A cuántos festivales de música asistes aproximadamente al año?,¿A qué tipo de lugares sueles ir para vivir festivales o conciertos?,¿Viajas a otras ciudades para ir a festivales o conciertos?,¿Generalmente asistes sola(o) o acompañada(o) a los festivales?,¿Qué influye más en tu decisión para asistir a un festival?,¿Generalmente cuál  es tu mayor gasto extra (aparte del boleto)? ,¿Cuál es tu presupuesto por día para gastar en comida y bebidas en el festival? ,¿Cuánto tiempo sueles pasar dentro de un festival?,¿Cómo manejas tu energía durante el evento?,¿Cuánto tiempo tardas en recuperarte después de un festival?,Cómo te enteras normalmente de los festivales?,¿Qué tan fácil te resulta conseguir boletos y planear tu asistencia?,¿Cuál fue el último festival al que asististe?,¿Qué tan seguro/a te sentiste durante el festival?,Qué aspectos te gustaron más?,¿Qué fue lo que menos te gustó?,¿Qué tipo de experiencias te gustaría vivir además de la música?,¿Qué emociones predominan para ti durante un festival?,¿Consideras que los festivales generan comunidad o conexión con otras personas?,¿Crees que los festivales tienen un impacto social o cultural más allá del entretenimiento?
13/10/2025 10:07:21,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Vaiven 2025,1,Artistas,Baños,Experiencias tecnológicas / instalaciones interactivas,Alegría,Algo,No
13/10/2025 10:25:44,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,5,Vaiven,1,Convivencia y ambiente,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
13/10/2025 10:37:56,35 a 44,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con familia,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,4,Vive Latino,4,Artistas,Precios,Iniciativas ecológicas o comunitarias,Alegría,Algo,Sí
13/10/2025 11:25:13,45 o más,Mujer,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Una semana para volver a la normalidad,Redes sociales,3,Edc,3,Producción y escenografía,Filas para accesos,Espacios de bienestar (descanso),Conexión,Algo,Tal vez
13/10/2025 11:37:36,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con familia,Diseño del espacio / experiencia,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Festival Vaivén ,1,Calidad de sonido,Comida,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
13/10/2025 11:39:26,35 a 44,Hombre,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Una semana para volver a la normalidad,Redes sociales,1,Vaivén,2,Calidad de sonido,Filas para accesos,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
13/10/2025 11:59:26,25 a 34,Hombre,Estudiante,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Amigos/as,1,Vaiven 2025,1,Artistas,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
13/10/2025 12:12:23,25 a 34,Hombre,Empleado(a) a tiempo completo,Electrónica,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén 2025,1,Producción y escenografía,Baños,Experiencias tecnológicas / instalaciones interactivas,Euforia,"Sí, totalmente",Sí
13/10/2025 13:19:58,25 a 34,Hombre,Desempleado(a),Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,5,Tecate emblema,2,Artistas,Baños,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
13/10/2025 13:53:20,35 a 44,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Hipnosis 2024,3,Artistas,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
13/10/2025 13:57:14,25 a 34,Hombre,Freelance / Autónomo(a),Una mezcla de casi todas sus opciones ,3 a 5 festivales,En ciudades medianas o eventos locales,"A veces, si vale mucho la pena",Con amix,Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Amigos/as,3,Atmosphere de Ommix,3,Artistas,Seguridad,Experiencias tecnológicas / instalaciones interactivas,Euforia,No mucho,Sí
13/10/2025 14:12:41,35 a 44,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Termino agotado/a pero feliz,Dos o tres días de bajón,Amigos/as,1,Corona capital,1,Artistas,Precios,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
13/10/2025 14:17:22,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Comida dentro del festival 🥫,Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Unts Unts Unts 2024,3,Artistas,Precios,Arte visual,"Depende de diversos factores(artistas, ambiente, etc)","Sí, totalmente",Tal vez
13/10/2025 14:18:45,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Solo un día,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Axe Ceremonia,4,Artistas,Seguridad,Arte visual,Alegría,"Sí, totalmente",Sí
13/10/2025 14:26:32,25 a 34,Hombre,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Diseño del espacio / experiencia,Comida dentro del festival 🥫,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,3,Vaiven,2,Convivencia y ambiente,Baños,Espacios de bienestar (descanso),Conexión,Algo,Sí
13/10/2025 14:56:49,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Más de  $500 mxn,Solo un día,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Pulso gnp,4,Artistas,"Había demasiada gente para un espacio pequeño, no hubo logistica",Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
13/10/2025 14:59:34,25 a 34,Hombre,Empleado(a) a tiempo parcial,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,4,Vaiven,4,Artistas,Precios,Iniciativas ecológicas o comunitarias,Alegría,"Sí, totalmente",Sí
13/10/2025 15:12:59,35 a 44,Hombre,Freelance / Autónomo(a),Electrónica,Más de 10 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,vaiven 2025,1,Artistas,Señal e internet,Arte visual,Euforia,"Sí, totalmente",Sí
13/10/2025 15:32:55,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén,1,Artistas,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
13/10/2025 15:45:02,19 a  24,Hombre,Empleado(a) a tiempo parcial,Electrónica,1 a 2 festivales,En ciudades medianas o eventos locales,"Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,1,Vaiven 2025,1,Convivencia y ambiente,Precios,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
13/10/2025 16:17:59,25 a 34,Hombre,Desempleado(a),Pop,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,2,Vive Latino ,4,Artistas,Señal e internet,Espacios de bienestar (descanso),Alegría,No mucho,Sí
13/10/2025 16:40:31,35 a 44,Hombre,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,En zonas rurales o festivales fuera del circuito urbano,"A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,3,Vaivén ,1,Artistas,Precios,Arte visual,Euforia,Algo,Tal vez
13/10/2025 16:57:57,25 a 34,Hombre,Freelance / Autónomo(a),Electrónica,3 a 5 festivales,En zonas rurales o festivales fuera del circuito urbano,"A veces, si vale mucho la pena",Con amix,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,3,Vaiven,3,Organización y logística,Señal e internet,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
13/10/2025 17:15:10,35 a 44,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con familia,Precio,Comida dentro del festival 🥫,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Una semana para volver a la normalidad,Redes sociales,2,Vive latino ,1,Organización y logística,Baños,Nada ,Alegría,"Sí, totalmente",Sí
13/10/2025 17:28:50,25 a 34,Hombre,Empleado(a) a tiempo completo,Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Mutek 21,1,Artistas,Precios,Todas las anteriores,Conexión,"Sí, totalmente",Sí
13/10/2025 18:36:01,25 a 34,Mujer,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Flow fest 2024,3,Convivencia y ambiente,Baños,Arte visual,Conexión,"Sí, totalmente",Sí
13/10/2025 19:01:10,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,5,Vaivén ,3,Artistas,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
13/10/2025 21:44:15,25 a 34,Hombre,Empleado(a) a tiempo completo,Pop,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,Más de  $500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,2,Coachella en EUA y AXE Ceremonia en CDMX,2,Artistas,Precios,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
13/10/2025 21:56:07,25 a 34,Hombre,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,3,Vaivén ,3,Artistas,Señal e internet,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
13/10/2025 21:58:34,25 a 34,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,4,vaiven ,3,Artistas,Baños,Espacios de bienestar (descanso),Euforia,Algo,Sí
13/10/2025 22:18:33,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,3 a 5 festivales,En ciudades medianas o eventos locales,"A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Solo un día,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,4,Skatex,3,Artistas,Baños,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
13/10/2025 23:10:45,25 a 34,Hombre,Empleado(a) a tiempo completo,Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",En pareja,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Vaiven  25,2,Artistas,Mucha gente  drogada,Arte visual,Alegría,Algo,No
13/10/2025 23:37:34,19 a  24,Hombre,Estudiante,Pop,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén,2,Artistas,Señal e internet,Experiencias tecnológicas / instalaciones interactivas,Euforia,"Sí, totalmente",Sí
14/10/2025 0:14:25,25 a 34,Hombre,Empleado(a) a tiempo completo,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Dos o tres días de bajón,Redes sociales,2,Vaivén ,2,Producción y escenografía,Precios,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
14/10/2025 0:40:18,19 a  24,Hombre,Freelance / Autónomo(a),Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,3,Zamna ,5,Calidad de sonido,Precios,Experiencias tecnológicas / instalaciones interactivas,Conexión,"Sí, totalmente",Sí
14/10/2025 13:37:06,25 a 34,Mujer,Empleado(a) a tiempo completo,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,1,Vaivén ,4,Artistas,Baños,Arte visual,Alegría,"Sí, totalmente",Sí
14/10/2025 20:21:19,35 a 44,Hombre,Comerciante,Electrónica,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Comida dentro del festival 🥫,"Entre $1,000 mxn y $2,000 mxn",Solo un día,Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,2,Pulso GNP,2,Artistas,Usar chip y que se queda rezagado tu dinero que sobra,Charlas o Talleres,Conexión,Algo,Sí
14/10/2025 23:48:30,25 a 34,Hombre,Estudiante,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Máximo  $200 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Hipnosis 2024 o Corona Capital 2024,3,Artistas,Precios,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
15/10/2025 0:32:41,25 a 34,Mujer,Empleado(a) a tiempo parcial,Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte a la ciudad del festival 🚌🛬,Más de  $500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Dos o tres días de bajón,Redes sociales,4,Pal Norte,1,Organización y logística,Señal e internet,Experiencias tecnológicas / instalaciones interactivas,Alegría,Algo,Sí
15/10/2025 0:54:49,25 a 34,Mujer,Freelance / Autónomo(a),Rock / Alternativo,Más de 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Lugar / ciudad,Comida dentro del festival 🥫,Más de  $500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,3,Garage de bandas,1,Artistas,Baños,Charlas o Talleres,Alegría,"Sí, totalmente",Sí
15/10/2025 14:17:14,25 a 34,Hombre,Desempleado(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Influencers o medios musicales,3,Vive latino ,3,Calidad de sonido,Precios,Puntos para hidratarte,Conexión,"Sí, totalmente",Sí
15/10/2025 15:06:47,25 a 34,Hombre,Freelance / Autónomo(a),Todos,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Redes sociales,1,Off limits ,1,Artistas,Comida,Pura música ,Alegría,Algo,Sí
16/10/2025 9:28:02,35 a 44,Hombre,Freelance / Autónomo(a),Rock / Alternativo,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Termino agotado/a pero feliz,Un día y ya estoy como nuevo/a,Redes sociales,5,Vaivén ,1,Artistas,Precios,Charlas o Talleres,Alegría,"Sí, totalmente",Tal vez
16/10/2025 12:17:07,45 o más,Hombre,Freelance / Autónomo(a),Experimental,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Redes sociales,2,Mutek,1,Convivencia y ambiente,Line up,Arte visual,Conexión,Algo,Sí
16/10/2025 12:38:21,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Una semana para volver a la normalidad,Redes sociales,2,MutekMx,1,Convivencia y ambiente,Precios,Charlas o Talleres,Conexión,"Sí, totalmente",No
16/10/2025 13:46:16,25 a 34,Mujer,Freelance / Autónomo(a),Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",En pareja,Cartel / artistas,Bebidas dentro del festival 🥤,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,3,MUTEK 2025,5,Artistas,Baños,Charlas o Talleres,Alegría,"Sí, totalmente",Sí
16/10/2025 14:16:43,25 a 34,Hombre,Freelance / Autónomo(a),Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Con amix,Diseño del espacio / experiencia,Bebidas dentro del festival 🥤,"Más de $2,000 mxn",Depende del tipo de festival,Tomo descansos entre shows,Un día y ya estoy como nuevo/a,Amigos/as,1,Mutek,1,Producción y escenografía,Filas para accesos,Experiencias tecnológicas / instalaciones interactivas,Euforia,"Sí, totalmente",Sí
16/10/2025 18:49:32,35 a 44,Hombre,Freelance / Autónomo(a),Experimental,3 a 5 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Entre $200 – 500 mxn,Depende del tipo de festival,Busco zonas tranquilas o de sombra,Dos o tres días de bajón,Redes sociales,1,Mutek,1,Calidad de sonido,Precios,Espacios de bienestar (descanso),Conexión,"Sí, totalmente",Sí
16/10/2025 19:37:28,35 a 44,Hombre,Empleado(a) a tiempo parcial,Electrónica,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","A veces, si vale mucho la pena",Con amix,Cartel / artistas,Bebidas dentro del festival 🥤,Más de  $500 mxn,Solo unas horas (voy por artistas específicos),Tomo descansos entre shows,Dos o tres días de bajón,Redes sociales,3,Simi fest 24,2,Producción y escenografía,Precios,Experiencias tecnológicas / instalaciones interactivas,Alegría,"Sí, totalmente",Sí
20/10/2025 20:49:57,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,1 a 2 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)",Casi nunca,Sola(o),Cartel / artistas,Transporte (ida y vuelta dentro de la ciudad),Entre $200 – 500 mxn,Solo un día,Busco zonas tranquilas o de sombra,Un día y ya estoy como nuevo/a,Redes sociales,2,ANTI FRONTERAS FEST,1,Artistas,Sonido,Experiencias tecnológicas / instalaciones interactivas,Euforia,"Sí, totalmente",Sí
22/10/2025 14:58:46,25 a 34,Hombre,Freelance / Autónomo(a),Rock / Alternativo,Más de 10 festivales,"Principalmente en ciudades grandes (CDMX, Guadalajara, Monterrey, etc.)","Sí, casi siempre",Sola(o),Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Entre $1,000 mxn y $2,000 mxn",Depende del tipo de festival,Termino agotado/a pero feliz,Una semana para volver a la normalidad,Redes sociales,1,Vaiven,2,Producción y escenografía,Precios,Espacios de bienestar (descanso),Alegría,"Sí, totalmente",Sí
22/10/2025 20:11:25,35 a 44,Mujer,Empleado(a) a tiempo completo,Electrónica,1 a 2 festivales,En zonas rurales o festivales fuera del circuito urbano,"Sí, casi siempre",En pareja,Cartel / artistas,Hospedaje en la ciudad del festival 🛏️ 🏨,"Más de $2,000 mxn",Solo un día,Me la paso bailando todo el tiempo 🕺,Un día y ya estoy como nuevo/a,Beat 100.9,2,Vaivén Nescafé ,3,Artistas,Me robaron mi celular,Espacios de bienestar (descanso),Euforia,"Sí, totalmente",Sí
